name,team_name,league,registered_position,age,speed,acceleration,dribbling,ball_control,low_pass,finishing,defensive_awareness,physical_contact,stamina,kicking_power,heading,tight_possession
E. DŽEKO,ROMA,Serie A TIM,CF,34,71,69,78,84,77,87,50,86,76,84,87,78
A. WITSEL,Free Agents,Free Agent,DMF,31,76,72,78,85,87,74,73,80,88,82,79,73
P. GULÁCSI,Free Agents,Free Agent,GK,30,59,53,45,60,60,40,54,83,64,83,70,49
T. ALDERWEIRELD,TOTTENHAM WB,English League,CB,31,72,67,65,78,80,56,91,85,79,80,86,65
K. NAVAS,PSG,Ligue 1 Uber Eats,GK,34,53,57,51,60,60,40,45,81,63,85,65,54
D. MERTENS,NAPOLI,Serie A TIM,CF,33,84,90,87,88,82,84,51,60,77,80,65,91
K. MANOLAS,NAPOLI,Serie A TIM,CB,29,84,82,64,66,66,63,90,85,85,74,87,68
J. HENDERSON,LIVERPOOL R,English League,CMF,30,75,72,78,81,84,68,80,80,88,83,69,83
JORDI ALBA,FC BARCELONA,Spanish League,LB,31,92,88,80,83,80,71,70,64,87,75,67,82
C. ERIKSEN,LOMBARDIA NA,Serie A TIM,AMF,28,75,77,83,89,91,78,53,67,88,85,62,85
R. NAINGGOLAN,Free Agents,Free Agent,CMF,32,76,77,79,84,84,76,76,75,86,85,63,82
W. BEN YEDDER,MONACO,Ligue 1 Uber Eats,CF,30,78,84,86,84,76,85,55,73,82,77,71,86
ISCO,MADRID CHAMARTIN B,Spanish League,AMF,28,75,85,91,92,85,78,50,63,76,75,60,87
A. GÓMEZ,ATALANTA,Serie A TIM,AMF,32,83,88,86,88,86,79,53,60,78,84,57,88
P. COUTINHO,FC BARCELONA,Spanish League,AMF,28,80,85,89,90,87,76,50,61,76,83,61,91
F. ACERBI,LAZIO,Serie A TIM,CB,32,72,68,67,75,80,65,90,91,81,88,87,72
S. UMTITI,FC BARCELONA,Spanish League,CB,27,79,76,66,76,78,61,87,86,82,80,82,70
İ. GÜNDOĞAN,MANCHESTER B,English League,CMF,30,76,80,86,87,89,70,78,74,80,77,60,83
L. INSIGNE,NAPOLI,Serie A TIM,LWF,29,85,87,86,89,83,75,56,57,85,77,55,87
IAGO ASPAS,VIGO AB,Spanish League,CF,33,80,83,85,85,80,83,49,69,76,79,73,86
M. DEPAY,OLYMPIQUE LYONNAIS,Ligue 1 Uber Eats,CF,26,86,87,86,85,82,82,46,80,79,85,66,84
M. BROZOVIĆ,LOMBARDIA NA,Serie A TIM,CMF,28,75,76,81,85,84,73,76,67,89,82,69,83
R. JIMÉNEZ,WOLVERHAMPTON YB,English League,CF,29,81,78,80,82,76,85,51,81,85,81,84,82
CARVAJAL,MADRID CHAMARTIN B,Spanish League,RB,28,85,82,79,80,80,54,86,76,87,72,65,77
JORGINHO,CHELSEA B,English League,DMF,29,68,72,80,84,88,65,76,71,86,79,63,85
L. GORETZKA,FC BAYERN MÜNCHEN,Other European Leagues,CMF,25,83,78,80,84,86,73,73,85,85,85,86,81
A. ROBERTSON,LIVERPOOL R,English League,LB,26,87,86,74,82,74,56,80,70,95,80,60,82
T. PARTEY,MADRID ROSAS RB,Spanish League,DMF,27,82,77,80,85,85,70,79,82,87,92,70,86
ARTHUR,JUVENTUS,Serie A TIM,CMF,24,76,81,83,85,87,73,72,72,84,79,63,84
GABRIEL JESUS,MANCHESTER B,English League,CF,23,85,87,84,84,71,84,52,68,84,79,78,82
L. MARTÍNEZ,LOMBARDIA NA,Serie A TIM,CF,23,83,83,83,83,74,84,49,77,80,82,81,81
H. MAGUIRE,MANCHESTER UNITED,English League,CB,27,68,65,74,77,76,55,87,94,84,75,88,72
O. DEMBÉLÉ,FC BARCELONA,Spanish League,LWF,23,92,94,88,86,78,76,47,65,76,81,60,85
RODRI,MANCHESTER B,English League,DMF,24,77,75,72,84,88,64,88,80,87,84,76,85
ANDRES INIESTA,VISSEL KOBE,AFC Champions League,CMF,36,66,70,90,94,93,71,66,69,70,70,60,90
Ł. FABIAŃSKI,WEST HAM RB,English League,GK,35,67,66,46,55,55,43,51,75,55,76,60,48
D. PAYET,OLYMPIQUE MARSEILLE,Ligue 1 Uber Eats,LWF,33,75,79,87,88,86,78,46,73,76,82,61,87
RUI PATRÍCIO,WOLVERHAMPTON YB,English League,GK,32,65,67,47,60,60,42,45,84,60,80,60,47
J. VERTONGHEN,BENFICA,Liga NOS,CB,33,73,69,75,77,81,65,89,85,80,84,80,80
JAVI MARTÍNEZ,FC BAYERN MÜNCHEN,Other European Leagues,DMF,32,63,59,71,85,87,63,88,87,82,81,90,83
G. BALE,MADRID CHAMARTIN B,Spanish League,RWF,31,90,83,84,82,76,82,50,78,75,88,80,82
Y. SOMMER,Free Agents,Free Agent,GK,32,58,59,50,55,57,40,56,80,61,80,63,53
WILLIAN,ARSENAL,English League,RWF,32,84,89,89,85,81,76,55,64,82,78,60,84
A. LACAZETTE,ARSENAL,English League,CF,29,79,81,84,85,77,84,50,73,79,85,75,87
DOUGLAS COSTA,JUVENTUS,Serie A TIM,RWF,30,87,88,92,86,79,73,51,64,76,82,60,90
N. TAGLIAFICO,AJAX,Eredivisie,LB,28,82,81,76,77,75,69,74,72,84,76,82,76
MORATA,MADRID ROSAS RB,Spanish League,CF,28,86,86,79,83,75,80,48,80,83,81,88,79
PABLO SARABIA,PSG,Ligue 1 Uber Eats,RWF,28,83,87,88,85,79,80,66,71,82,76,62,82
ALEX SANDRO,JUVENTUS,Serie A TIM,LB,29,85,83,83,79,77,65,73,77,85,78,75,78
ALLAN,EVERTON B,English League,CMF,29,78,82,82,82,82,70,84,82,89,75,60,80
FELIPE,MADRID ROSAS RB,Spanish League,CB,31,75,67,64,70,72,56,87,88,84,74,86,62
RICARDO PEREIRA,LEICESTER B,English League,RB,27,87,88,83,81,76,65,71,67,86,74,65,80
A. ROMAGNOLI,MILANO RN,Serie A TIM,CB,25,77,74,68,77,80,65,87,84,83,76,84,73
N. FEKIR,SEVILLA TRIANA VB,Spanish League,AMF,27,77,81,89,88,80,80,50,78,78,84,60,88
D. ZAPATA,ATALANTA,Serie A TIM,CF,29,83,79,78,79,71,88,49,92,76,82,86,75
J. BRANDT,Free Agents,Free Agent,CMF,24,87,83,88,88,85,80,56,77,78,83,68,86
M. GINTER,Free Agents,Free Agent,CB,26,77,74,72,81,85,69,89,80,85,75,85,70
M. SABITZER,Free Agents,Free Agent,RWF,26,86,89,86,82,81,77,56,67,84,83,69,84
M. ØDEGAARD,MADRID CHAMARTIN B,Spanish League,AMF,22,78,80,90,87,80,74,64,70,79,79,62,91
A. MERET,NAPOLI,Serie A TIM,GK,23,65,65,51,60,60,42,50,80,59,79,60,47
D. SÁNCHEZ,TOTTENHAM WB,English League,CB,24,82,76,65,73,75,60,87,89,81,76,84,70
L. HERNANDEZ,FC BAYERN MÜNCHEN,Other European Leagues,CB,24,83,86,75,78,77,57,86,82,81,75,82,75
R. BENTANCUR,JUVENTUS,Serie A TIM,CMF,23,75,74,78,84,85,67,73,80,84,83,73,80
N. PÉPÉ,ARSENAL,English League,RMF,25,89,91,88,83,75,78,50,66,81,78,62,87
FABIÁN RUIZ,NAPOLI,Serie A TIM,CMF,24,76,73,82,87,86,77,70,78,79,83,73,85
G. DONNARUMMA,MILANO RN,Serie A TIM,GK,21,65,69,48,56,61,40,52,82,67,82,70,50
MIKEL OYARZABAL,VASCO GIPUZKOA AB,Spanish League,LMF,23,78,78,85,86,81,82,62,73,83,80,72,85
M. RASHFORD,MANCHESTER UNITED,English League,LWF,23,91,88,82,83,74,80,45,74,82,86,76,77
RICHARLISON,EVERTON B,English League,CF,23,88,85,85,84,76,82,53,82,78,80,81,88
T. NDOMBÈLÉ,TOTTENHAM WB,English League,CMF,24,82,85,83,85,83,71,83,76,83,82,65,77
K. HAVERTZ,Free Agents,Free Agent,AMF,21,87,81,85,87,82,76,57,79,79,80,79,84
W. NDIDI,LEICESTER B,English League,DMF,24,79,73,74,78,77,65,84,81,92,82,76,75
Z. IBRAHIMOVIĆ,MILANO RN,Serie A TIM,CF,39,68,64,80,86,81,86,45,90,69,91,85,82
K. SCHMEICHEL,LEICESTER B,English League,GK,34,68,67,46,55,58,44,51,82,55,66,60,49
JOÃO MOUTINHO,WOLVERHAMPTON YB,English League,CMF,34,66,71,82,85,85,73,72,66,82,76,65,84
SANTI CAZORLA,Free Agents,Free Agent,CMF,36,71,65,83,92,92,73,61,64,72,78,59,86
R. FALCAO,GALATASARAY,Süper Lig,CF,34,72,76,76,84,70,86,47,74,74,83,83,83
B. MATUIDI,Free Agents,Free Agent,CMF,33,81,84,82,77,83,73,79,76,86,78,71,75
S. SIRIGU,TORINO,Serie A TIM,GK,33,65,65,55,56,58,50,50,83,56,82,70,54
D. GODÍN,LOMBARDIA NA,Serie A TIM,CB,34,65,60,73,74,76,64,86,89,80,73,89,71
MARCELO,MADRID CHAMARTIN B,Spanish League,LB,32,80,81,85,88,80,70,65,70,82,82,64,86
DAVID LUIZ,ARSENAL,English League,CB,33,75,71,77,79,83,67,76,83,82,82,84,75
AZPILICUETA,CHELSEA B,English League,RB,31,78,74,70,79,78,56,84,73,92,70,75,69
LUCAS LEIVA,LAZIO,Serie A TIM,DMF,33,69,73,73,81,84,63,86,76,84,78,79,77
A. DZYUBA,ZENIT,Tinkoff Russian Premier Liga,CF,32,77,71,77,81,79,82,47,95,82,83,92,79
A. VIDAL,FC BARCELONA,Spanish League,CMF,33,74,71,78,82,80,73,76,83,85,85,78,81
F. MUSLERA,GALATASARAY,Süper Lig,GK,34,60,63,50,56,60,40,53,82,64,85,70,58
A. KOLAROV,ROMA,Serie A TIM,LB,35,74,70,78,77,76,70,80,80,82,90,77,74
S. MANDANDA,OLYMPIQUE MARSEILLE,Ligue 1 Uber Eats,GK,35,65,70,50,55,62,46,64,82,64,81,67,53
A. RAMSEY,JUVENTUS,Serie A TIM,CMF,30,72,74,83,84,85,76,72,69,86,78,63,81
JOSÉ CALLEJÓN,Free Agents,Free Agent,RWF,33,85,84,81,84,80,77,66,61,88,79,65,79
M. ÖZIL,ARSENAL,English League,AMF,32,78,76,87,90,88,71,50,65,75,75,61,84
I. PERIŠIĆ,Free Agents,Free Agent,LWF,31,84,80,82,83,80,80,56,75,75,82,83,79
J. CILLESSEN,VALENCIA BN,Spanish League,GK,31,68,71,64,62,71,46,74,81,70,84,60,46
J. BOATENG,FC BAYERN MÜNCHEN,Other European Leagues,CB,32,74,65,66,72,77,55,86,88,73,79,89,74
J. CUADRADO,JUVENTUS,Serie A TIM,RB,32,85,85,83,81,78,71,72,65,81,80,70,82
ANTHONY LOPES,OLYMPIQUE LYONNAIS,Ligue 1 Uber Eats,GK,30,64,67,51,55,61,43,49,78,67,77,60,50
K. WALKER,MANCHESTER B,English League,RB,30,93,84,76,76,76,65,68,78,88,83,75,72
C. ARÁNGUIZ,BAYER LEVERKUSEN,Other European Leagues,CMF,31,73,82,79,81,85,70,73,74,88,83,68,79
J. RODRÍGUEZ,MADRID CHAMARTIN B,Spanish League,AMF,29,72,75,86,85,85,82,51,68,74,84,64,84
PIZZI,BENFICA,Liga NOS,RMF,31,78,78,85,87,87,79,63,70,81,80,60,83
D. TADIĆ,AJAX,Eredivisie,CF,32,76,77,84,85,83,82,54,73,77,79,67,84
G. XHAKA,ARSENAL,English League,DMF,28,66,62,72,83,85,67,66,81,82,91,68,69
RODRIGO,LEEDS W,English League,CF,29,87,83,84,85,82,81,50,68,83,81,76,81
I. GUEYE,PSG,Ligue 1 Uber Eats,CMF,31,75,84,77,83,81,62,88,66,91,81,72,84
SERGI ROBERTO,FC BARCELONA,Spanish League,RB,28,82,78,80,82,85,67,75,72,85,71,62,83
LUCAS MOURA,TOTTENHAM WB,English League,RMF,28,89,90,85,84,75,80,50,65,80,81,74,80
M. KOVAČIĆ,CHELSEA B,English League,CMF,26,78,82,86,87,87,66,65,75,77,73,65,83
S. SAVIĆ,MADRID ROSAS RB,Spanish League,CB,29,74,72,67,73,72,59,88,86,78,71,87,65
L. HRÁDECKÝ,BAYER LEVERKUSEN,Other European Leagues,GK,31,60,56,48,55,55,40,52,81,60,83,70,51
L. MURIEL,ATALANTA,Serie A TIM,CF,29,84,86,84,83,75,81,48,79,77,85,73,81
S. BERGHUIS,FEYENOORD,Eredivisie,RWF,29,78,82,84,84,79,77,52,73,72,84,66,85
L. OCAMPOS,SEVILLA NERVIÓN BR,Spanish League,RWF,26,83,80,83,82,72,77,63,81,85,84,73,80
F. THAUVIN,OLYMPIQUE MARSEILLE,Ligue 1 Uber Eats,RWF,27,82,85,85,84,80,80,50,70,79,79,75,83
E. CAN,Free Agents,Free Agent,CMF,26,77,74,79,82,82,69,80,86,86,81,74,77
KEPA,CHELSEA B,English League,GK,26,58,61,45,55,55,41,49,78,58,75,60,50
J. PICKFORD,EVERTON B,English League,GK,26,64,65,43,60,60,42,46,80,60,80,60,45
P. ZIELIŃSKI,NAPOLI,Serie A TIM,CMF,26,82,83,84,85,84,71,63,60,80,82,60,83
A. MARTIAL,MANCHESTER UNITED,English League,CF,25,88,86,88,85,73,83,45,74,78,83,66,80
ALEX TELLES,PORTO,Liga NOS,LB,28,83,83,80,80,79,65,75,70,85,80,68,73
A. MILIK,NAPOLI,Serie A TIM,CF,26,77,74,73,81,71,86,51,85,78,87,85,67
Y. TIELEMANS,LEICESTER B,English League,CMF,23,75,72,79,84,85,74,70,70,82,83,66,83
R. GUERREIRO,Free Agents,Free Agent,LMF,27,77,85,86,80,84,75,67,64,84,80,55,89
J. CORREA,LAZIO,Serie A TIM,SS,26,84,82,88,87,79,77,49,82,82,86,63,86
Á. CORREA,MADRID ROSAS RB,Spanish League,RMF,25,82,86,87,85,77,78,52,64,81,76,62,83
J. MUSSO,UDINESE,Serie A TIM,GK,26,66,67,55,62,63,45,55,82,63,87,70,52
R. DE PAUL,UDINESE,Serie A TIM,CMF,26,81,83,85,83,81,77,65,70,81,86,64,85
K. COMAN,FC BAYERN MÜNCHEN,Other European Leagues,RWF,24,92,93,88,84,75,78,55,64,79,78,61,83
A. REBIĆ,MILANO RN,Serie A TIM,LWF,27,88,85,83,80,70,82,56,84,85,83,80,75
C. TOLISSO,FC BAYERN MÜNCHEN,Other European Leagues,CMF,26,78,77,80,81,82,75,72,81,86,88,81,77
T. STRAKOSHA,LAZIO,Serie A TIM,GK,25,68,65,51,58,62,48,49,83,62,82,70,52
K. VOLLAND,MONACO,Ligue 1 Uber Eats,CF,28,79,85,82,81,78,82,53,77,85,88,70,80
PORTU,VASCO GIPUZKOA AB,Spanish League,RWF,28,90,87,82,79,78,80,52,74,83,84,61,77
K. TRIPPIER,MADRID ROSAS RB,Spanish League,RB,30,79,79,79,80,81,60,75,65,86,76,71,76
A. BELOTTI,TORINO,Serie A TIM,CF,27,78,79,76,78,71,83,52,82,84,83,84,78
M. DEMBÉLÉ,OLYMPIQUE LYONNAIS,Ligue 1 Uber Eats,CF,24,84,82,80,77,72,84,48,86,82,82,83,76
P. KIMPEMBE,PSG,Ligue 1 Uber Eats,CB,25,81,74,68,73,79,56,83,86,80,76,81,77
DIEGO CARLOS,SEVILLA NERVIÓN BR,Spanish League,CB,27,73,76,63,72,72,60,84,90,85,77,80,64
ASENSIO,MADRID CHAMARTIN B,Spanish League,LMF,24,86,88,86,84,85,82,50,60,77,89,60,87
RÚBEN NEVES,WOLVERHAMPTON YB,English League,DMF,23,69,70,76,83,85,68,71,70,80,84,61,75
J. GOMEZ,LIVERPOOL R,English League,CB,23,85,79,75,76,79,58,85,84,83,76,79,77
A. RÜDIGER,CHELSEA B,English League,CB,27,82,80,68,75,77,57,86,86,80,75,85,65
B. PAVARD,FC BAYERN MÜNCHEN,Other European Leagues,RB,24,83,76,73,77,79,65,81,80,82,76,82,70
A. ONANA,AJAX,Eredivisie,GK,24,67,69,60,63,66,40,51,80,67,82,66,52
DJENÉ,GETAFE A,Spanish League,CB,29,82,79,69,72,72,55,87,87,84,75,77,65
F. MENDY,MADRID CHAMARTIN B,Spanish League,LB,25,90,90,75,76,72,57,76,75,88,78,67,76
D. VAN DE BEEK,MANCHESTER UNITED,English League,AMF,23,78,76,80,84,78,81,69,80,84,83,70,84
L. PELLEGRINI,ROMA,Serie A TIM,CMF,24,78,79,79,82,86,73,72,74,83,79,75,78
L. TORREIRA,ARSENAL,English League,DMF,24,74,83,80,81,82,64,75,67,85,82,60,85
NÉLSON SEMEDO,FC BARCELONA,Spanish League,RB,27,90,86,83,82,73,62,68,68,85,75,62,80
ÉDER MILITÃO,MADRID CHAMARTIN B,Spanish League,CB,22,79,79,72,75,73,63,86,78,83,72,81,76
F. VALVERDE,MADRID CHAMARTIN B,Spanish League,CMF,22,83,80,78,81,84,68,70,79,87,83,65,81
A. HAKIMI,LOMBARDIA NA,Serie A TIM,RB,22,95,93,81,75,75,71,65,70,87,78,65,70
J. MADDISON,LEICESTER B,English League,AMF,24,78,84,83,84,84,72,62,67,81,85,63,83
F. CHIESA,FIORENTINA,Serie A TIM,RWF,23,85,86,84,83,77,77,54,72,84,82,62,85
A. WAN-BISSAKA,MANCHESTER UNITED,English League,RB,23,92,87,70,75,71,55,81,74,85,73,65,76
JOÃO FÉLIX,MADRID ROSAS RB,Spanish League,SS,21,80,86,87,87,80,81,47,64,81,80,72,85
E. HAALAND,Free Agents,Free Agent,CF,20,90,85,77,73,70,87,51,87,74,90,70,71
M. BENATIA,AL DUHAIL,AFC Champions League,CB,33,79,74,68,72,75,60,86,88,78,77,87,65
M. MANDŽUKIĆ,AL DUHAIL,AFC Champions League,CF,34,73,70,77,78,76,83,60,85,83,79,86,74
ALBIOL,VILLARREAL A,Spanish League,CB,35,71,69,66,73,76,60,88,87,82,78,81,62
DANI ALVES,SÃO PAULO,BRASILEIRÃO ASSAÍ 2020,RB,37,78,79,78,79,81,70,79,70,75,83,60,83
F. QUAGLIARELLA,SAMPDORIA,Serie A TIM,CF,37,70,72,78,83,76,85,49,75,70,85,76,80
M. ARNAUTOVIĆ,SHANGHAI SIPG,CFA Super League,CF,31,83,80,82,83,76,77,55,83,78,83,74,79
S. RUFFIER,SAINT-ÉTIENNE,Ligue 1 Uber Eats,GK,34,56,58,46,55,55,40,48,89,60,81,70,45
J. EVANS,LEICESTER B,English League,CB,32,73,68,67,74,74,58,86,83,82,79,84,70
