Rndrng_Prvdr_First_Name,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_Type,Tot_Benes,Bene_Avg_Age
craig,palmer,anesthesiology,36,71
shobi,zaidi,diagnostic radiology,20,64
anna,schmitz,obstetrics & gynecology,19,66
kaylee,williams,physician assistant,36,67
shehla,admani,dermatology,34,73
julie,poteet,optometry,41,75
brent,treadaway,emergency medicine,30,76
melissa,denny,emergency medicine,13,68
amy,markese,obstetrics & gynecology,21,64
anand,shah,gastroenterology,18,69
joshua,holt,orthopedic surgery,19,68
rachael,fly pingree,physician assistant,21,71
inconnu,ofp inc,mass immunizer roster biller,19,72
lucas,dueffert,physical therapist in private practice,37,71
lauren,reed,physician assistant,32,68
maria,molter,nurse practitioner,21,64
tiffany,teague,nurse practitioner,31,69
sarah,coyne,nurse practitioner,26,72
emily,wing,emergency medicine,20,72
matthew,romano,physician assistant,29,67
michal,schimmel,audiologist,31,78
melani,brunson,nurse practitioner,16,72
marisa,barber,physician assistant,44,71
jesse,hoffmeister,speech language pathologist,29,71
christy,turner,nurse practitioner,14,69
brandilynne,ferderer,physical therapist in private practice,22,74
katie,dunleavy,gastroenterology,33,69
emily,grubb,nurse practitioner,13,76
haley,kinzer,physician assistant,16,76
jade,ferrante,nurse practitioner,26,73
aaron,mccullough,physical therapist in private practice,32,74
ross,hubbard,occupational therapist in private practice,21,70
hannah,barlow,physician assistant,15,69
mariah,kriwiel,family practice,15,78
hannah,brown,physical therapist in private practice,19,71
cara,cahill,certified registered nurse anesthetist (crna),16,72
kevin,darby,nurse practitioner,13,75
anna,hughes,physician assistant,43,72
lisa,palovick,certified registered nurse anesthetist (crna),35,72
julie,barnes,physician assistant,22,65
kevin,kerber,neurology,31,71
john,martin,"psychologist, clinical",18,72
john,stanec,anesthesiology,34,71
martin,vogt,anesthesiology,28,71
mark,baller,certified registered nurse anesthetist (crna),16,68
sherif,tawfic,pathology,30,71
eric,schultz,podiatry,17,74
wolfram,goessling,gastroenterology,20,69
john,rubino,chiropractic,25,74
lisa,vis,physical therapist in private practice,20,71
mark,warwick,general practice,31,68
michael,risoldi,chiropractic,41,73
heather,bell,family practice,17,64
james,frimpong,obstetrics & gynecology,23,68
heidi,green,anesthesiology,31,70
nathaniel,johnson,emergency medicine,15,67
dunia,rodriguez,physician assistant,21,69
sarah,holland,certified registered nurse anesthetist (crna),46,72
kavan,shah,physical therapist in private practice,24,69
sara,deatsman,obstetrics & gynecology,34,67
carlo,guerrero,internal medicine,21,75
caitlin,mccarthy,internal medicine,14,71
carol,gibbons,physical therapist in private practice,15,79
brian,sauer,orthopedic surgery,17,70
ryan,young,physician assistant,22,74
lindsey,burlage,nurse practitioner,13,75
athena,fertig,nurse practitioner,27,65
stephanie,calefati,physical therapist in private practice,32,72
amanda,ahrens,certified registered nurse anesthetist (crna),20,66
jeffrey,mclaren,anesthesiology,26,70
joel,womack,internal medicine,16,66
david,deffendall,certified registered nurse anesthetist (crna),26,71
edsel,iway,internal medicine,21,74
ashley,fento,obstetrics & gynecology,22,68
abimbade,akhigbe,obstetrics & gynecology,33,62
stephanie,mager,obstetrics & gynecology,47,70
nicholas,manguso,general surgery,37,72
lindsey,pezzo,physical therapist in private practice,37,77
brennan,ross,physician assistant,26,72
jeremy,pangerl,certified registered nurse anesthetist (crna),48,70
diana,barden,nurse practitioner,39,72
mary,miller,physician assistant,18,66
charlaine,conger,nurse practitioner,20,59
stephanie,furstenau,nurse practitioner,19,78
mildred,shaw,certified registered nurse anesthetist (crna),13,74
vanessa,sidick,nurse practitioner,24,70
daniela,espino,physical therapist in private practice,33,73
andrea,bennett,nurse practitioner,22,71
bonnie,cahill,physician assistant,25,68
diones,valentin ramirez,chiropractic,32,75
marta,plaza,pathology,13,72
garrett,rogers,cardiology,21,68
matthew,gearinger,ophthalmology,23,64
robert,bostic,physician assistant,28,64
gregory,delong,obstetrics & gynecology,19,67
marc,horton,general surgery,27,74
jeffrey,grewal,anesthesiology,22,72
david,spangler,obstetrics & gynecology,22,64
nicole,gomez,certified registered nurse anesthetist (crna),24,72
tirbod,fattahi,maxillofacial surgery,20,67
steve,alberti,chiropractic,27,70
rebecca,watson,internal medicine,18,78
stuart,stein,neurology,18,72
chad,rosborough,chiropractic,23,74
lisa,block,certified registered nurse anesthetist (crna),45,71
felicia,freeman,optometry,32,72
aimee,van straaten,obstetrics & gynecology,35,70
tish,thornley,chiropractic,33,77
melissa,witt,nurse practitioner,18,75
nazanin,sharifi,internal medicine,13,72
miguel,guzman,pathology,30,62
patricia,oneal,hematology-oncology,23,65
aaron,scaife,obstetrics & gynecology,23,70
serena,pierson,obstetrics & gynecology,25,63
rachelle,king,chiropractic,44,69
crystal,evig,obstetrics & gynecology,22,71
kellie,hadnot,optometry,27,72
tamara,kieran,certified registered nurse anesthetist (crna),17,69
blythe,gage,nurse practitioner,24,67
gary,lynn,orthopedic surgery,17,81
allison,mikota,occupational therapist in private practice,42,72
nenna,egboh,internal medicine,17,72
caroline,clarke,plastic and reconstructive surgery,19,71
stanley,grimmel,chiropractic,38,74
natalie,albert,anesthesiology assistant,42,69
matthew,cupido,anesthesiology,17,73
stan,choi,optometry,27,73
karen,patel,physician assistant,23,73
caroline,roberts,family practice,19,78
mohammad,khaledy,internal medicine,15,68
shelli,farhadian,infectious disease,20,67
matthew,reppert,chiropractic,25,71
matt,devreugd,chiropractic,32,69
ravikumar,balasubramanian,endocrinology,21,68
tricia,brunmeier,nurse practitioner,27,59
jequie,dixon,nurse practitioner,21,70
keyle,brown,optometry,40,74
lacey,crawford,nurse practitioner,26,79
jacob,teye,physician assistant,17,60
kathleen,head,internal medicine,22,68
jordan,isaac,certified registered nurse anesthetist (crna),21,68
krupa,patel,ophthalmology,15,66
katelyn,hobill,physician assistant,28,78
brian,minardi,physician assistant,23,72
inconnu,ent of south georgia surgery center llc,ambulatory surgical center,17,68
mary,reilly,physician assistant,25,73
timothy,lens,physician assistant,18,71
leah,margolis,obstetrics & gynecology,42,68
emily,riley,nurse practitioner,19,71
akash,naik,otolaryngology,16,71
casey,judge,ophthalmology,19,73
william,jumper,chiropractic,33,72
guillermo,casanada,physical therapist in private practice,18,73
megan,akers,nurse practitioner,15,70
sophia,shlosman,physical therapist in private practice,24,75
anaidra,reese,nurse practitioner,17,73
rachel,whitaker,nurse practitioner,18,73
david,chavez,optometry,31,74
kelina,phifer,nurse practitioner,35,74
rahim,husein,anesthesiology assistant,15,73
kathryn,branson,licensed clinical social worker,18,79
alicia,anderson,physician assistant,16,71
alana,ward,physical therapist in private practice,44,71
nicole,schleisman,nurse practitioner,28,70
frank,wenzel,optometry,34,67
jerome,nayigiziki,certified registered nurse anesthetist (crna),26,65
diane,sanfilippo,obstetrics & gynecology,38,69
walter,trymbulak,obstetrics & gynecology,50,71
john,mckenna,optometry,26,74
gloria,westney,pulmonary disease,14,73
michael,hayes,"psychologist, clinical",15,68
jonathan,ross,urology,17,69
stuart,weitzman,chiropractic,32,72
lisa,keenly,emergency medicine,22,62
allison,jensen,ophthalmology,39,75
james,milder,certified registered nurse anesthetist (crna),22,70
barbara,kohn,physician assistant,30,77
wendy,peterson,general surgery,20,70
peter,mayer,oral surgery (dentist only),31,73
jason,katz,physician assistant,15,78
andrew,beutz,chiropractic,43,73
stewart,nemser,chiropractic,24,69
samantha,holsti,physician assistant,22,74
michael,mcveigh,optometry,22,68
janet,folmar,speech language pathologist,24,75
kenneth,mckenzie,physical therapist in private practice,36,70
nancy,mcmanus,physical therapist in private practice,17,59
stephen,epner,family practice,23,71
carlos,rosario-martinez,internal medicine,16,76
isabel,acevedo,physical therapist in private practice,30,73
eric,edelman,physical therapist in private practice,24,72
i,choe,optometry,36,77
denise,peralta,occupational therapist in private practice,31,76
anika,moore,obstetrics & gynecology,39,68
reagan,saig,obstetrics & gynecology,16,60
laura,ross,emergency medicine,19,69
matthew,cantor,obstetrics & gynecology,27,68
drummond,vogan,emergency medicine,38,72
adam,bierbaum,certified registered nurse anesthetist (crna),42,70
keyona,king-osis,physician assistant,20,75
karen,anderson,physical therapist in private practice,20,70
leopold,streletz,neurology,17,71
charlotte,haws,physician assistant,48,66
margot,wacks,obstetrics & gynecology,31,68
anthony,lewis,obstetrics & gynecology,24,67
logan,chamberlain,chiropractic,41,69
tyler,crosby,otolaryngology,19,70
ashley,sugg,certified registered nurse anesthetist (crna),30,69
david,gregory,occupational therapist in private practice,31,67
thomas,swenson,certified registered nurse anesthetist (crna),17,67
dillon,hammes,chiropractic,57,71
jennifer,panger,certified registered nurse anesthetist (crna),29,72
matthew,tentis,physician assistant,20,70
raydesha,banks,occupational therapist in private practice,30,74
ashley,tomlinson,physical therapist in private practice,30,72
kristen,tekin,physician assistant,20,78
honey,robbins,nurse practitioner,36,75
heather,nunnelly,physician assistant,29,69
austin,afshar,physical therapist in private practice,30,73
daniel,noccioli,physician assistant,15,71
kathleen,mitchell-anderson,speech language pathologist,23,75
teresa,d'aurizio,nurse practitioner,21,72
karly,sweeney,nurse practitioner,18,77
linu,stephen,nurse practitioner,19,69
samuel,croft,chiropractic,34,72
alison,dutton,physician assistant,18,70
hannah,werth,certified registered nurse anesthetist (crna),22,67
kaleb,mcelwee,chiropractic,16,69
pierce,johnson,physical therapist in private practice,28,74
melissa,salisbury,physician assistant,22,70
zachary,van meter,nurse practitioner,14,72
john,terhes,general surgery,29,70
adan,atriham,family practice,21,70
wendy,kudritzki,physician assistant,30,75
rebecca,johnston,certified registered nurse anesthetist (crna),15,69
tammy,vachino,certified registered nurse anesthetist (crna),28,72
daniel,stewart,general surgery,23,70
john,deal,physician assistant,18,73
william,young,ophthalmology,23,72
thylma,sta maria,obstetrics & gynecology,31,61
angela,frie,certified registered nurse anesthetist (crna),24,69
ryan,weaver,chiropractic,50,71
david,schuval,colorectal surgery (proctology),28,73
roger,kunes,physician assistant,20,73
teresa,limberg,nurse practitioner,57,68
m,wilson,ophthalmology,23,64
carl,miller,chiropractic,33,74
john,stacks,chiropractic,30,74
luis,bogran-reyes,general surgery,18,66
vance,vandrake,internal medicine,15,64
luz,lopez,family practice,25,71
melissa,barras,certified registered nurse anesthetist (crna),29,70
derrick,denman,chiropractic,30,72
susan,eick,"psychologist, clinical",17,73
mark,joseph,chiropractic,29,69
keron,magness,emergency medicine,16,70
denise,lashell,optometry,29,70
keshavan,kodandapani,nurse practitioner,42,65
robert,czajkowski,chiropractic,38,69
jason,baum,chiropractic,26,74
saeyeal,lee,obstetrics & gynecology,24,65
james,kreibich,chiropractic,33,70
torri,janecek,obstetrics & gynecology,35,71
matthew,simone,nurse practitioner,49,71
john,martinez,certified registered nurse anesthetist (crna),20,75
tasha,beenken,obstetrics & gynecology,36,67
john,lofaso,anesthesiology,44,68
robert,miller,internal medicine,18,70
danielle,williamson,anesthesiology,31,77
gaelen,watt,physical therapist in private practice,20,70
wittstatt,whitaker-lea,neurosurgery,26,73
kelly,nash,certified registered nurse anesthetist (crna),40,70
jeffrey,ho,optometry,34,72
brittany,sherron,obstetrics & gynecology,33,72
ryan,fordt,chiropractic,38,67
jordan,troka,physician assistant,40,72
jessica,wirtz,physician assistant,38,69
ryan,smith,otolaryngology,21,74
evan,de szoeke,physical therapist in private practice,25,75
michael,anderson,physical therapist in private practice,20,75
colin,coulson,certified registered nurse anesthetist (crna),40,73
brett,black,physical therapist in private practice,16,68
madeline,alexander,physician assistant,18,67
rebecca,chamberlain,physical therapist in private practice,24,71
julie,benedict,nurse practitioner,23,78
rachelle,conish,nurse practitioner,19,76
tori,knox-rice,"psychologist, clinical",29,67
maddison,ganann,chiropractic,41,72
adam,spanier,emergency medicine,23,67
